match_date,league_code,league_name,home_team,away_team,selection,selection_name,odds,model_prob,implied_prob,edge,expected_roi,home_position,away_position,home_last_points_pg,away_last_points_pg,home_injury_impact,away_injury_impact,home_matches_last7,away_matches_last7,home_cards_pg,away_cards_pg,home_corners_diff_pg,away_corners_diff_pg,home_goals_against_pg,away_goals_against_pg,model_top_factors,score_momentum,score_home_away,score_injuries,score_congestion,score_defense,score_forward_goals,score_h2h,h2h_matches,h2h_home_win_rate,h2h_draw_rate,h2h_away_win_rate,h2h_goal_diff_pg,important_injured_players,likely_scorers,likely_card_players,match_id
2025-08-17,N1,Eredivisie,Go Ahead Eagles,Ajax,2,away_win,1.76,0.7733,0.5316,0.2418,0.3611,8,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.517,1.237,"goal_diff_gap:-0.59, forward_goals_gap:-0.36, h2h_gap:-0.36",0.0,-0.2382,0.0,0.0,-0.1908,-0.36,-0.3589,7,0.0689,0.5516,0.3795,-0.5424,,,,2025-08-17|N1|Go Ahead Eagles|Ajax
2025-08-17,N1,Eredivisie,Volendam,AZ Alkmaar,2,away_win,1.56,0.8714,0.6002,0.2712,0.3593,19,5,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.338,1.119,"momentum_gap:-0.99, goal_diff_gap:-0.75, forward_goals_gap:-0.62",-0.9888,-0.5641,0.0,0.0,-0.5877,-0.6211,-0.5658,4,0.0,0.2059,0.7941,-2.3363,,,,2025-08-17|N1|Volendam|AZ Alkmaar
2025-08-16,E0,Premier League,Brighton,Fulham,1,home_win,1.92,0.7048,0.4947,0.2101,0.3533,9,14,2.6,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.493,1.474,"momentum_gap:+0.81, forward_goals_gap:+0.50, h2h_gap:-0.39",0.8054,0.3376,0.0,0.0,-0.0132,0.5043,-0.3872,6,0.2541,0.1465,0.5994,-0.911,,,,2025-08-16|E0|Brighton|Fulham
2025-08-17,N1,Eredivisie,FC Twente,PSV Eindhoven,2,away_win,1.55,0.8535,0.6038,0.2496,0.3229,4,1,1.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.076,1.0,"momentum_gap:-0.92, forward_goals_gap:-0.69, goal_diff_gap:-0.57",-0.917,0.1228,0.0,0.0,-0.0533,-0.6931,-0.5609,7,0.0834,0.0703,0.8463,-2.2166,,,,2025-08-17|N1|FC Twente|PSV Eindhoven
2025-08-16,P1,Primeira Liga,Vitoria de Guimaraes,Estoril Praia,1,home_win,1.67,0.7815,0.5557,0.2257,0.3051,5,9,1.2,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,1.558,"home_away_gap:+0.79, h2h_gap:+0.49, goal_diff_gap:+0.34",-0.1458,0.7933,0.0,0.0,0.2709,-0.2311,0.4947,7,0.7634,0.0,0.2366,0.7606,,,,2025-08-16|P1|Vitoria de Guimaraes|Estoril Praia
2025-08-17,SP1,La Liga,RCD Espanyol,Atletico de Madrid,2,away_win,1.55,0.8286,0.6062,0.2223,0.2843,18,3,0.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.589,0.948,"momentum_gap:-0.81, goal_diff_gap:-0.64, forward_goals_gap:-0.60",-0.8054,-0.3151,0.0,0.0,-0.3962,-0.6018,-0.1346,5,0.0,0.8973,0.1027,-0.1027,,,,2025-08-17|SP1|RCD Espanyol|Atletico de Madrid
2025-08-17,SP1,La Liga,Celta de Vigo,Getafe,1,home_win,1.71,0.7425,0.5503,0.1921,0.2696,10,14,1.8,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.403,1.187,"momentum_gap:+0.73, home_away_gap:+0.57, forward_goals_gap:+0.49",0.7304,0.5712,0.0,0.0,-0.1492,0.4906,0.1592,7,0.4522,0.218,0.3299,0.0507,,,,2025-08-17|SP1|Celta de Vigo|Getafe
2025-08-16,N1,Eredivisie,Excelsior,Feyenoord,2,away_win,1.46,0.8696,0.6411,0.2284,0.2695,17,2,1.4,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.118,0.941,"goal_diff_gap:-0.77, home_away_gap:-0.70, h2h_gap:-0.59",-0.2866,-0.7018,0.0,0.0,-0.5785,-0.5475,-0.5861,4,0.0,0.0,1.0,-3.0204,,,,2025-08-16|N1|Excelsior|Feyenoord
2025-08-16,E0,Premier League,Wolverhampton Wanderers,Manchester City,2,away_win,1.44,0.8722,0.6586,0.2136,0.256,13,1,0.8,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.649,0.947,"momentum_gap:-0.92, goal_diff_gap:-0.73, h2h_gap:-0.56",-0.917,-0.5279,0.0,0.0,-0.4241,-0.5392,-0.5569,7,0.1299,0.0,0.8701,-1.8255,,,,2025-08-16|E0|Wolverhampton Wanderers|Manchester City
2025-08-16,SP1,La Liga,Mallorca,Barcelona,2,away_win,1.43,0.8717,0.6607,0.211,0.2466,13,1,0.8,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.246,0.888,"momentum_gap:-0.87, forward_goals_gap:-0.70, goal_diff_gap:-0.70",-0.867,-0.564,0.0,0.0,-0.2405,-0.6974,-0.5764,8,0.0,0.1202,0.8798,-1.6742,,,,2025-08-16|SP1|Mallorca|Barcelona
2025-08-17,E0,Premier League,Chelsea,Crystal Palace,1,home_win,1.61,0.7438,0.5885,0.1554,0.1976,6,11,2.4,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.303,1.331,"home_away_gap:+0.52, h2h_gap:+0.51, momentum_gap:+0.42",0.4179,0.5161,0.0,0.0,0.0195,-0.1511,0.513,7,0.5735,0.4265,0.0,0.7321,,,,2025-08-17|E0|Chelsea|Crystal Palace
2025-08-17,SP1,La Liga,Athletic Club,Sevilla,1,home_win,1.55,0.7706,0.6069,0.1637,0.1944,5,11,2.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.343,"momentum_gap:+0.73, home_away_gap:+0.67, h2h_gap:+0.40",0.7304,0.671,0.0,0.0,0.2498,-0.1266,0.3973,7,0.54,0.2784,0.1816,0.6668,,,,2025-08-17|SP1|Athletic Club|Sevilla
2025-08-16,F1,Ligue 1,Monaco,Le Havre AC,1,home_win,1.33,0.8435,0.7048,0.1388,0.1219,2,19,1.6,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.264,1.706,"home_away_gap:+0.71, goal_diff_gap:+0.62, table_rank:+0.44",0.1458,0.7115,0.0,0.0,0.2906,0.2141,0.3191,4,0.2668,0.7332,0.0,0.5335,,,,2025-08-16|F1|Monaco|Le Havre AC
2025-08-16,E0,Premier League,Tottenham Hotspur,Burnley,1,home_win,1.37,0.8188,0.6894,0.1294,0.1218,7,21,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.548,1.783,"home_away_gap:+0.69, goal_diff_gap:+0.59, h2h_gap:+0.55",-0.4179,0.6873,0.0,0.0,0.1617,0.0324,0.5461,4,0.8438,0.0,0.1562,1.267,,,,2025-08-16|E0|Tottenham Hotspur|Burnley
2025-08-15,SP1,La Liga,Villarreal,Real Oviedo,1,home_win,1.38,0.8044,0.6843,0.1201,0.11,4,99,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.291,0.0,"momentum_gap:+1.06, home_away_gap:+0.90, forward_goals_gap:+0.74",1.0604,0.8955,0.0,0.0,-0.6016,0.7411,0.0,0,0.0,0.0,0.0,0.0,,,,2025-08-15|SP1|Villarreal|Real Oviedo
2025-08-15,E0,Premier League,Liverpool,Bournemouth,1,home_win,1.31,0.8469,0.726,0.1209,0.1094,2,16,1.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.045,1.614,"home_away_gap:+0.82, goal_diff_gap:+0.67, forward_goals_gap:+0.58",-0.2866,0.8234,0.0,0.0,0.3602,0.5829,0.5609,6,0.8816,0.0,0.1184,2.8686,,,,2025-08-15|E0|Liverpool|Bournemouth
2025-08-17,F1,Ligue 1,FC Nantes,Paris Saint-Germain,2,away_win,1.32,0.834,0.7099,0.1241,0.1009,13,1,1.2,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.496,1.016,"home_away_gap:-0.74, goal_diff_gap:-0.73, forward_goals_gap:-0.66",-0.1458,-0.7434,0.0,0.0,-0.3124,-0.6582,-0.4339,7,0.0676,0.4534,0.479,-0.7665,,,,2025-08-17|F1|FC Nantes|Paris Saint-Germain
2025-08-17,P1,Primeira Liga,Sporting CP,FC Arouca,1,home_win,1.25,0.8706,0.744,0.1265,0.0882,1,7,2.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.867,1.325,"home_away_gap:+0.85, goal_diff_gap:+0.72, forward_goals_gap:+0.68",0.6411,0.8528,0.0,0.0,0.3001,0.6802,0.4681,7,0.5628,0.3452,0.0921,1.2557,,,,2025-08-17|P1|Sporting CP|FC Arouca
2025-08-17,F1,Ligue 1,AJ Auxerre,Lorient,2,away_win,2.96,0.3612,0.3165,0.0447,0.0692,17,15,0.8,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.583,1.659,"home_away_gap:+0.33, points_gap:-0.30, momentum_gap:+0.15",0.1458,0.3289,0.0,0.0,0.0531,-0.0508,0.1188,2,0.5452,0.0,0.4548,-0.3645,,,,2025-08-17|F1|AJ Auxerre|Lorient
